date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:33	0/-1	---M--	302	error ('')			https://steelthemes-20012418.hs-sites.com/garado?hsLang=en	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado.41c6eb.delayed	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:33	0/-1	---M--	302	error ('')			https://steelthemes-20012418.hs-sites.com/garado?hsLang=en	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado.42c6eb.delayed	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:33	0/-1	---M--	302	error ('')			https://steelthemes-20012418.hs-sites.com/garado?hsLang=en	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado.43c6eb.delayed	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:34	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202025%2008:19:57%20GMT	http://20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-1.png	H:/Bala/mayulonclothing/20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-1.44.delayed	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:34	63091/63091	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2008:19:57%20GMT	https://steelthemes-20012418.hs-sites.com/garado/contact	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado/contact.html	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:34	1206/1206	---M--	200	added ('OK')	image/png	etag:%227f7079a9535c42c619e1e345ea5a3c3b%22	https://20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-1.png	H:/Bala/mayulonclothing/20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-1.png	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:34	0/-1	---M--	302	error ('')			https://steelthemes-20012418.hs-sites.com/garado?hsLang=en	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado.46c6eb.delayed	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:34	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202025%2008:19:58%20GMT	http://20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-2.png	H:/Bala/mayulonclothing/20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-2.png	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:34	0/-1	---M--	302	error ('')			https://steelthemes-20012418.hs-sites.com/garado?hsLang=en	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado.49c6eb.delayed	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:35	6270/6270	---M--	200	added ('OK')	image/png	etag:%2279ba46a01b97ed70fd161e4610ed8edf%22	https://20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-2.png	H:/Bala/mayulonclothing/20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-2.png	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:35	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202025%2008:19:58%20GMT	http://20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-3.png	H:/Bala/mayulonclothing/20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-3.png	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:35	2357/2357	---M--	200	added ('OK')	image/png	etag:%227b7d06f4c54034e49f2548a8154b4830%22	https://20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-3.png	H:/Bala/mayulonclothing/20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/raw_assets/public/garado/images/brand-3.png	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:35	0/-1	---M--	302	error ('')			https://steelthemes-20012418.hs-sites.com/garado?hsLang=en	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado.4cc6eb.delayed	(from https://steelthemes-20012418.hs-sites.com/garado)
